commodity_spot_1,diffusion_mc_1,ensemble_1,ladder_arb_1,news_drift_1,pair_trading_1
1.0,5.0,3.0,2.0,6.0,4.0
2.0,3.0,,1.0,5.0,4.0
2.0,5.0,1.0,3.0,6.0,4.0
2.0,3.0,,1.0,5.0,4.0
3.0,5.0,2.0,1.0,6.0,4.0
1.0,6.0,3.0,2.0,5.0,4.0
2.0,6.0,3.0,1.0,4.0,5.0
1.0,3.0,5.0,4.0,6.0,2.0
2.0,4.0,,1.0,5.0,3.0
1.0,4.0,2.0,3.0,6.0,5.0
2.0,3.0,,1.0,5.0,4.0
1.0,5.0,3.0,2.0,6.0,4.0
3.0,5.0,2.0,1.0,6.0,4.0
1.0,3.0,2.0,4.0,6.0,5.0
3.0,4.0,2.0,1.0,6.0,5.0
3.0,4.0,2.0,1.0,6.0,5.0
2.0,4.0,1.0,3.0,6.0,5.0
1.0,3.0,4.0,2.0,6.0,5.0
2.0,5.0,3.0,1.0,6.0,4.0
1.0,6.0,2.0,4.0,5.0,3.0
3.0,5.0,2.0,1.0,6.0,4.0
1.0,2.0,3.0,4.0,6.0,5.0
1.0,3.0,5.0,2.0,6.0,4.0
2.0,5.0,3.0,1.0,6.0,4.0
2.0,4.0,1.0,3.0,6.0,5.0
2.0,4.0,3.0,1.0,6.0,5.0
1.0,4.0,3.0,2.0,6.0,5.0
1.0,2.0,5.0,4.0,6.0,3.0
3.0,5.0,2.0,1.0,6.0,4.0
2.0,4.0,1.0,3.0,6.0,5.0
1.0,5.0,3.0,2.0,6.0,4.0
3.0,4.0,1.0,2.0,6.0,5.0
2.0,5.0,3.0,1.0,6.0,4.0
1.0,4.0,3.0,2.0,6.0,5.0
2.0,4.0,3.0,1.0,6.0,5.0
1.0,3.0,5.0,4.0,6.0,2.0
1.0,4.0,3.0,5.0,6.0,2.0
1.0,5.0,4.0,2.0,6.0,3.0
1.0,5.0,3.0,2.0,6.0,4.0
1.0,5.0,3.0,2.0,6.0,4.0
3.0,4.0,1.0,2.0,5.0,6.0
1.0,5.0,3.0,2.0,6.0,4.0
2.0,4.0,1.0,,5.0,3.0
3.0,5.0,2.0,1.0,6.0,4.0
2.0,6.0,3.0,1.0,5.0,4.0
2.0,5.0,4.0,1.0,6.0,3.0
1.0,5.0,3.0,2.0,6.0,4.0
1.0,5.0,2.0,4.0,6.0,3.0
2.0,5.0,3.0,1.0,6.0,4.0
1.0,2.0,5.0,4.0,6.0,3.0
1.0,4.0,2.0,3.0,6.0,5.0
2.0,6.0,3.0,1.0,5.0,4.0
1.0,5.0,4.0,2.0,6.0,3.0
1.0,2.0,5.0,3.0,6.0,4.0
1.0,5.0,3.0,2.0,6.0,4.0
2.0,4.0,1.0,3.0,6.0,5.0
2.0,5.0,3.0,1.0,6.0,4.0
1.0,4.0,5.0,2.0,6.0,3.0
1.0,4.0,3.0,2.0,6.0,5.0
2.0,5.0,3.0,1.0,6.0,4.0
1.0,3.0,5.0,4.0,6.0,2.0
2.0,5.0,3.0,1.0,6.0,4.0
1.0,5.0,3.0,2.0,6.0,4.0
1.0,2.0,4.0,3.0,5.0,6.0
3.0,5.0,2.0,1.0,6.0,4.0
1.0,5.0,3.0,2.0,6.0,4.0
2.0,3.0,,1.0,5.0,4.0
1.0,5.0,3.0,2.0,6.0,4.0
1.0,5.0,3.0,2.0,6.0,4.0
1.0,4.0,2.0,3.0,6.0,5.0
2.0,3.0,,1.0,5.0,4.0
1.0,4.0,2.0,3.0,6.0,5.0
1.0,3.0,,2.0,5.0,4.0
3.0,4.0,1.0,2.0,6.0,5.0
1.0,5.0,3.0,4.0,6.0,2.0
1.0,6.0,3.0,4.0,5.0,2.0
1.0,4.0,2.0,3.0,5.0,6.0
3.0,5.0,2.0,1.0,6.0,4.0
1.0,5.0,2.0,3.0,6.0,4.0
2.0,4.0,,1.0,5.0,3.0
3.0,5.0,2.0,1.0,6.0,4.0
3.0,5.0,2.0,1.0,6.0,4.0
1.0,4.0,3.0,2.0,6.0,5.0
2.0,5.0,3.0,1.0,6.0,4.0
2.0,5.0,3.0,1.0,6.0,4.0
1.0,2.0,5.0,3.0,6.0,4.0
2.0,4.0,1.0,3.0,6.0,5.0
1.0,5.0,3.0,4.0,6.0,2.0
1.0,5.0,3.0,2.0,6.0,4.0
1.0,3.0,,2.0,4.0,5.0
1.0,4.0,5.0,2.0,6.0,3.0
1.0,4.0,2.0,3.0,6.0,5.0
1.0,4.0,3.0,2.0,5.0,6.0
2.0,5.0,3.0,1.0,6.0,4.0
1.0,4.0,3.0,2.0,6.0,5.0
1.0,6.0,3.0,2.0,5.0,4.0
1.0,4.0,3.0,2.0,6.0,5.0
1.0,5.0,4.0,2.0,6.0,3.0
2.0,5.0,1.0,3.0,6.0,4.0
1.0,2.0,5.0,4.0,6.0,3.0
1.0,5.0,3.0,2.0,6.0,4.0
1.0,2.0,5.0,3.0,6.0,4.0
1.0,4.0,3.0,2.0,6.0,5.0
1.0,6.0,3.0,2.0,5.0,4.0
1.0,2.0,5.0,3.0,6.0,4.0
2.0,3.0,,1.0,5.0,4.0
1.0,5.0,3.0,2.0,6.0,4.0
1.0,5.0,3.0,2.0,6.0,4.0
2.0,3.0,1.0,,4.0,5.0
1.0,5.0,3.0,2.0,6.0,4.0
1.0,3.0,,2.0,5.0,4.0
2.0,5.0,3.0,1.0,6.0,4.0
2.0,4.0,1.0,3.0,6.0,5.0
1.0,6.0,4.0,2.0,5.0,3.0
1.0,5.0,3.0,2.0,6.0,4.0
1.0,6.0,3.0,2.0,5.0,4.0
1.0,4.0,3.0,5.0,6.0,2.0
2.0,5.0,3.0,1.0,6.0,4.0
1.0,5.0,3.0,2.0,6.0,4.0
2.0,4.0,1.0,3.0,6.0,5.0
1.0,2.0,,,4.0,3.0
1.0,4.0,3.0,2.0,5.0,6.0
1.0,6.0,2.0,3.0,5.0,4.0
2.0,6.0,3.0,1.0,5.0,4.0
1.0,5.0,2.0,3.0,6.0,4.0
1.0,2.0,5.0,4.0,6.0,3.0
2.0,5.0,1.0,3.0,6.0,4.0
3.0,5.0,2.0,1.0,6.0,4.0
2.0,4.0,1.0,3.0,5.0,6.0
1.0,3.0,5.0,4.0,6.0,2.0
2.0,4.0,,1.0,5.0,3.0
3.0,5.0,2.0,1.0,6.0,4.0
1.0,5.0,2.0,3.0,4.0,6.0
1.0,4.0,3.0,2.0,6.0,5.0
1.0,5.0,2.0,3.0,6.0,4.0
1.0,5.0,2.0,4.0,6.0,3.0
2.0,5.0,3.0,1.0,6.0,4.0
1.0,3.0,4.0,2.0,6.0,5.0
1.0,4.0,2.0,3.0,5.0,6.0
1.0,5.0,3.0,2.0,6.0,4.0
3.0,5.0,1.0,2.0,6.0,4.0
1.0,2.0,5.0,4.0,6.0,3.0
1.0,4.0,2.0,5.0,6.0,3.0
1.0,3.0,,2.0,4.0,5.0
1.0,6.0,2.0,3.0,5.0,4.0
1.0,4.0,3.0,2.0,6.0,5.0
1.0,4.0,2.0,3.0,5.0,6.0
3.0,5.0,2.0,1.0,6.0,4.0
3.0,4.0,2.0,1.0,6.0,5.0
1.0,5.0,2.0,4.0,6.0,3.0
2.0,4.0,1.0,3.0,6.0,5.0
2.0,6.0,3.0,1.0,5.0,4.0
1.0,5.0,2.0,3.0,6.0,4.0
1.0,5.0,2.0,4.0,6.0,3.0
2.0,4.0,1.0,,5.0,3.0
1.0,3.0,5.0,4.0,6.0,2.0
1.0,5.0,3.0,4.0,6.0,2.0
2.0,4.0,3.0,1.0,6.0,5.0
1.0,5.0,3.0,2.0,6.0,4.0
1.0,5.0,3.0,2.0,6.0,4.0
2.0,4.0,3.0,1.0,5.0,6.0
1.0,3.0,,2.0,5.0,4.0
3.0,4.0,2.0,1.0,6.0,5.0
2.0,5.0,3.0,1.0,6.0,4.0
1.0,3.0,5.0,4.0,6.0,2.0
1.0,4.0,2.0,3.0,5.0,6.0
3.0,5.0,2.0,1.0,6.0,4.0
2.0,3.0,5.0,1.0,6.0,4.0
1.0,4.0,5.0,2.0,6.0,3.0
2.0,5.0,1.0,3.0,6.0,4.0
1.0,5.0,2.0,4.0,6.0,3.0
3.0,6.0,2.0,1.0,5.0,4.0
1.0,6.0,3.0,2.0,4.0,5.0
1.0,4.0,3.0,2.0,6.0,5.0
1.0,5.0,2.0,3.0,6.0,4.0
1.0,6.0,3.0,2.0,5.0,4.0
1.0,3.0,5.0,2.0,6.0,4.0
1.0,2.0,5.0,4.0,6.0,3.0
2.0,4.0,1.0,3.0,6.0,5.0
1.0,2.0,3.0,5.0,6.0,4.0
2.0,5.0,3.0,1.0,6.0,4.0
3.0,5.0,1.0,2.0,6.0,4.0
2.0,4.0,1.0,3.0,6.0,5.0
3.0,5.0,2.0,1.0,6.0,4.0
3.0,5.0,2.0,1.0,6.0,4.0
1.0,5.0,3.0,2.0,6.0,4.0
2.0,4.0,3.0,1.0,6.0,5.0
1.0,2.0,3.0,4.0,6.0,5.0
2.0,5.0,3.0,1.0,6.0,4.0
3.0,5.0,2.0,1.0,6.0,4.0
1.0,3.0,2.0,5.0,6.0,4.0
1.0,5.0,3.0,2.0,6.0,4.0
1.0,5.0,2.0,4.0,6.0,3.0
1.0,3.0,2.0,5.0,6.0,4.0
1.0,4.0,2.0,3.0,6.0,5.0
2.0,4.0,3.0,1.0,6.0,5.0
1.0,5.0,3.0,2.0,6.0,4.0
2.0,4.0,1.0,3.0,6.0,5.0
2.0,5.0,1.0,3.0,6.0,4.0
1.0,5.0,3.0,2.0,6.0,4.0
3.0,5.0,2.0,1.0,6.0,4.0
1.0,2.0,5.0,3.0,6.0,4.0
2.0,5.0,1.0,3.0,6.0,4.0
3.0,4.0,2.0,1.0,6.0,5.0
3.0,5.0,2.0,1.0,6.0,4.0
1.0,6.0,3.0,2.0,5.0,4.0
1.0,2.0,5.0,4.0,6.0,3.0
1.0,3.0,2.0,4.0,6.0,5.0
1.0,5.0,4.0,2.0,6.0,3.0
2.0,5.0,3.0,1.0,6.0,4.0
2.0,4.0,,1.0,5.0,3.0
1.0,4.0,2.0,3.0,5.0,6.0
2.0,4.0,,1.0,5.0,3.0
1.0,4.0,2.0,3.0,6.0,5.0
1.0,5.0,3.0,4.0,6.0,2.0
2.0,4.0,1.0,3.0,6.0,5.0
1.0,4.0,5.0,2.0,6.0,3.0
1.0,4.0,2.0,3.0,5.0,6.0
1.0,4.0,2.0,3.0,6.0,5.0
1.0,3.0,5.0,2.0,6.0,4.0
1.0,2.0,3.0,4.0,6.0,5.0
1.0,2.0,5.0,4.0,6.0,3.0
3.0,5.0,2.0,1.0,6.0,4.0
2.0,6.0,3.0,1.0,5.0,4.0
1.0,5.0,2.0,3.0,6.0,4.0
2.0,4.0,5.0,1.0,6.0,3.0
1.0,5.0,2.0,3.0,6.0,4.0
1.0,3.0,5.0,2.0,6.0,4.0
1.0,4.0,,2.0,5.0,3.0
1.0,6.0,3.0,2.0,5.0,4.0
3.0,5.0,1.0,2.0,6.0,4.0
1.0,3.0,4.0,2.0,6.0,5.0
1.0,5.0,3.0,2.0,6.0,4.0
1.0,6.0,3.0,2.0,5.0,4.0
2.0,4.0,,1.0,5.0,3.0
3.0,5.0,2.0,1.0,6.0,4.0
1.0,4.0,2.0,3.0,6.0,5.0
1.0,3.0,5.0,2.0,6.0,4.0
1.0,5.0,3.0,2.0,6.0,4.0
1.0,5.0,3.0,2.0,4.0,6.0
1.0,6.0,3.0,2.0,5.0,4.0
3.0,5.0,2.0,1.0,6.0,4.0
1.0,3.0,4.0,2.0,6.0,5.0
1.0,5.0,3.0,2.0,6.0,4.0
1.0,5.0,2.0,3.0,6.0,4.0
2.0,4.0,1.0,3.0,6.0,5.0
3.0,5.0,1.0,2.0,6.0,4.0
1.0,4.0,2.0,3.0,5.0,6.0
3.0,4.0,2.0,1.0,6.0,5.0
3.0,5.0,2.0,1.0,6.0,4.0
1.0,3.0,4.0,2.0,6.0,5.0
1.0,2.0,5.0,4.0,6.0,3.0
3.0,5.0,2.0,1.0,6.0,4.0
1.0,3.0,2.0,4.0,6.0,5.0
2.0,5.0,1.0,3.0,6.0,4.0
2.0,5.0,3.0,1.0,6.0,4.0
3.0,4.0,2.0,1.0,6.0,5.0
2.0,4.0,,1.0,5.0,3.0
1.0,5.0,3.0,2.0,6.0,4.0
1.0,2.0,5.0,3.0,6.0,4.0
1.0,2.0,5.0,4.0,6.0,3.0
2.0,6.0,3.0,1.0,5.0,4.0
1.0,4.0,,2.0,5.0,3.0
1.0,3.0,5.0,2.0,6.0,4.0
2.0,6.0,3.0,1.0,5.0,4.0
2.0,4.0,3.0,1.0,6.0,5.0
3.0,4.0,2.0,1.0,6.0,5.0
1.0,5.0,4.0,2.0,6.0,3.0
1.0,5.0,3.0,2.0,6.0,4.0
1.0,5.0,3.0,2.0,6.0,4.0
1.0,3.0,5.0,2.0,6.0,4.0
1.0,4.0,3.0,2.0,6.0,5.0
1.0,2.0,5.0,4.0,6.0,3.0
1.0,3.0,4.0,2.0,6.0,5.0
2.0,5.0,1.0,3.0,6.0,4.0
3.0,5.0,2.0,1.0,6.0,4.0
1.0,4.0,2.0,3.0,6.0,5.0
2.0,4.0,3.0,1.0,6.0,5.0
2.0,6.0,3.0,1.0,5.0,4.0
3.0,5.0,2.0,1.0,6.0,4.0
1.0,2.0,5.0,4.0,6.0,3.0
1.0,5.0,2.0,3.0,6.0,4.0
2.0,5.0,3.0,1.0,6.0,4.0
3.0,5.0,2.0,1.0,6.0,4.0
1.0,4.0,2.0,3.0,5.0,6.0
1.0,4.0,5.0,2.0,6.0,3.0
1.0,3.0,,2.0,5.0,4.0
1.0,5.0,2.0,3.0,6.0,4.0
1.0,5.0,2.0,3.0,6.0,4.0
1.0,6.0,2.0,3.0,5.0,4.0
2.0,3.0,,1.0,5.0,4.0
1.0,3.0,2.0,4.0,5.0,6.0
1.0,5.0,2.0,4.0,6.0,3.0
1.0,3.0,4.0,5.0,6.0,2.0
2.0,5.0,3.0,1.0,6.0,4.0
1.0,3.0,5.0,2.0,6.0,4.0
2.0,4.0,3.0,1.0,6.0,5.0
1.0,4.0,5.0,2.0,6.0,3.0
1.0,5.0,2.0,4.0,6.0,3.0
3.0,4.0,2.0,1.0,6.0,5.0
2.0,5.0,3.0,1.0,6.0,4.0
2.0,4.0,1.0,3.0,6.0,5.0
2.0,3.0,1.0,,5.0,4.0
2.0,4.0,1.0,3.0,6.0,5.0
2.0,5.0,1.0,,4.0,3.0
2.0,4.0,,1.0,5.0,3.0
3.0,5.0,2.0,1.0,6.0,4.0
3.0,5.0,2.0,1.0,6.0,4.0
1.0,3.0,2.0,4.0,6.0,5.0
1.0,4.0,2.0,3.0,6.0,5.0
1.0,4.0,5.0,2.0,6.0,3.0
1.0,4.0,2.0,3.0,5.0,6.0
1.0,6.0,3.0,2.0,5.0,4.0
3.0,4.0,1.0,2.0,6.0,5.0
2.0,4.0,,1.0,5.0,3.0
2.0,5.0,3.0,1.0,6.0,4.0
2.0,3.0,,1.0,5.0,4.0
3.0,4.0,2.0,1.0,6.0,5.0
2.0,5.0,3.0,1.0,6.0,4.0
3.0,4.0,2.0,1.0,6.0,5.0
3.0,4.0,1.0,2.0,6.0,5.0
2.0,5.0,1.0,3.0,6.0,4.0
2.0,5.0,3.0,1.0,6.0,4.0
2.0,4.0,,1.0,5.0,3.0
1.0,3.0,5.0,4.0,6.0,2.0
1.0,4.0,5.0,2.0,6.0,3.0
1.0,6.0,2.0,3.0,5.0,4.0
1.0,4.0,5.0,2.0,6.0,3.0
2.0,4.0,1.0,3.0,6.0,5.0
2.0,3.0,5.0,1.0,6.0,4.0
1.0,3.0,4.0,2.0,6.0,5.0
3.0,4.0,2.0,1.0,6.0,5.0
3.0,5.0,2.0,1.0,6.0,4.0
3.0,4.0,2.0,1.0,6.0,5.0
1.0,5.0,3.0,2.0,4.0,6.0
3.0,5.0,2.0,1.0,6.0,4.0
3.0,5.0,1.0,2.0,6.0,4.0
2.0,5.0,3.0,1.0,6.0,4.0
1.0,6.0,3.0,2.0,5.0,4.0
1.0,3.0,,2.0,5.0,4.0
2.0,4.0,1.0,3.0,6.0,5.0
2.0,6.0,3.0,1.0,4.0,5.0
2.0,4.0,,1.0,5.0,3.0
3.0,4.0,2.0,1.0,6.0,5.0
3.0,5.0,2.0,1.0,6.0,4.0
1.0,5.0,4.0,2.0,6.0,3.0
1.0,3.0,2.0,4.0,6.0,5.0
1.0,4.0,3.0,2.0,5.0,6.0
1.0,5.0,2.0,3.0,6.0,4.0
2.0,4.0,1.0,3.0,6.0,5.0
2.0,4.0,3.0,1.0,6.0,5.0
1.0,2.0,5.0,4.0,6.0,3.0
1.0,5.0,3.0,2.0,6.0,4.0
2.0,3.0,,1.0,5.0,4.0
2.0,6.0,3.0,1.0,5.0,4.0
3.0,4.0,2.0,1.0,6.0,5.0
1.0,4.0,,2.0,5.0,3.0
1.0,5.0,3.0,2.0,6.0,4.0
2.0,4.0,1.0,3.0,6.0,5.0
3.0,4.0,2.0,1.0,6.0,5.0
2.0,3.0,,1.0,5.0,4.0
1.0,2.0,,,4.0,3.0
2.0,4.0,,1.0,5.0,3.0
3.0,4.0,1.0,2.0,6.0,5.0
1.0,3.0,,2.0,5.0,4.0
1.0,2.0,,,4.0,3.0
1.0,6.0,3.0,2.0,5.0,4.0
1.0,5.0,3.0,2.0,6.0,4.0
1.0,5.0,3.0,2.0,6.0,4.0
1.0,5.0,2.0,3.0,6.0,4.0
1.0,3.0,4.0,2.0,6.0,5.0
1.0,2.0,5.0,4.0,6.0,3.0
1.0,4.0,2.0,3.0,5.0,6.0
2.0,4.0,1.0,3.0,6.0,5.0
1.0,3.0,,2.0,5.0,4.0
1.0,2.0,3.0,4.0,6.0,5.0
1.0,4.0,5.0,2.0,6.0,3.0
2.0,6.0,3.0,1.0,5.0,4.0
2.0,4.0,1.0,3.0,6.0,5.0
1.0,6.0,3.0,2.0,5.0,4.0
3.0,5.0,2.0,1.0,6.0,4.0
2.0,4.0,,1.0,5.0,3.0
3.0,5.0,2.0,1.0,6.0,4.0
2.0,5.0,3.0,1.0,6.0,4.0
1.0,5.0,3.0,2.0,6.0,4.0
1.0,2.0,5.0,4.0,6.0,3.0
2.0,5.0,1.0,3.0,6.0,4.0
1.0,5.0,3.0,2.0,6.0,4.0
1.0,3.0,4.0,2.0,6.0,5.0
2.0,5.0,3.0,1.0,6.0,4.0
1.0,2.0,3.0,4.0,5.0,6.0
2.0,4.0,,1.0,5.0,3.0
1.0,5.0,3.0,2.0,6.0,4.0
2.0,4.0,1.0,,5.0,3.0
2.0,3.0,5.0,1.0,6.0,4.0
2.0,5.0,3.0,1.0,6.0,4.0
1.0,2.0,5.0,3.0,6.0,4.0
3.0,4.0,1.0,2.0,6.0,5.0
3.0,6.0,2.0,1.0,5.0,4.0
3.0,5.0,2.0,1.0,6.0,4.0
1.0,4.0,2.0,3.0,6.0,5.0
1.0,3.0,5.0,2.0,6.0,4.0
2.0,5.0,3.0,1.0,6.0,4.0
1.0,5.0,2.0,3.0,6.0,4.0
1.0,3.0,5.0,2.0,6.0,4.0
2.0,4.0,1.0,3.0,6.0,5.0
3.0,5.0,2.0,1.0,6.0,4.0
1.0,5.0,4.0,2.0,6.0,3.0
2.0,4.0,,1.0,5.0,3.0
2.0,3.0,4.0,1.0,6.0,5.0
1.0,4.0,5.0,2.0,6.0,3.0
1.0,5.0,3.0,2.0,6.0,4.0
1.0,5.0,4.0,2.0,6.0,3.0
3.0,4.0,2.0,1.0,6.0,5.0
2.0,4.0,1.0,,5.0,3.0
1.0,5.0,2.0,3.0,6.0,4.0
1.0,4.0,5.0,2.0,6.0,3.0
1.0,5.0,3.0,2.0,6.0,4.0
1.0,5.0,3.0,2.0,6.0,4.0
3.0,5.0,2.0,1.0,6.0,4.0
3.0,5.0,2.0,1.0,6.0,4.0
2.0,5.0,3.0,1.0,6.0,4.0
1.0,6.0,2.0,3.0,5.0,4.0
2.0,3.0,,1.0,5.0,4.0
3.0,4.0,2.0,1.0,6.0,5.0
1.0,3.0,5.0,4.0,6.0,2.0
1.0,2.0,,3.0,5.0,4.0
1.0,5.0,2.0,3.0,6.0,4.0
3.0,5.0,2.0,1.0,6.0,4.0
2.0,3.0,,1.0,5.0,4.0
1.0,4.0,3.0,2.0,6.0,5.0
1.0,5.0,2.0,4.0,6.0,3.0
2.0,5.0,3.0,1.0,6.0,4.0
2.0,3.0,1.0,,5.0,4.0
2.0,6.0,3.0,1.0,5.0,4.0
1.0,2.0,5.0,4.0,6.0,3.0
2.0,5.0,1.0,3.0,6.0,4.0
1.0,5.0,3.0,2.0,6.0,4.0
1.0,4.0,3.0,2.0,5.0,6.0
2.0,5.0,3.0,1.0,6.0,4.0
1.0,6.0,3.0,2.0,5.0,4.0
1.0,3.0,5.0,2.0,6.0,4.0
3.0,5.0,2.0,1.0,6.0,4.0
1.0,3.0,2.0,4.0,6.0,5.0
1.0,2.0,5.0,3.0,6.0,4.0
2.0,5.0,3.0,1.0,6.0,4.0
1.0,5.0,2.0,3.0,6.0,4.0
2.0,4.0,1.0,3.0,6.0,5.0
1.0,5.0,3.0,2.0,6.0,4.0
1.0,3.0,2.0,4.0,6.0,5.0
2.0,4.0,,1.0,5.0,3.0
1.0,3.0,2.0,4.0,6.0,5.0
1.0,5.0,2.0,4.0,6.0,3.0
1.0,4.0,5.0,2.0,6.0,3.0
1.0,5.0,2.0,4.0,6.0,3.0
1.0,5.0,3.0,2.0,6.0,4.0
2.0,4.0,,1.0,5.0,3.0
1.0,4.0,2.0,3.0,5.0,6.0
2.0,4.0,,1.0,5.0,3.0
1.0,3.0,5.0,4.0,6.0,2.0
1.0,5.0,3.0,2.0,6.0,4.0
3.0,5.0,2.0,1.0,6.0,4.0
1.0,4.0,2.0,3.0,6.0,5.0
1.0,3.0,4.0,2.0,6.0,5.0
1.0,4.0,5.0,2.0,6.0,3.0
2.0,4.0,,1.0,5.0,3.0
2.0,4.0,1.0,3.0,6.0,5.0
2.0,5.0,3.0,1.0,6.0,4.0
3.0,5.0,2.0,1.0,6.0,4.0
1.0,4.0,2.0,3.0,5.0,6.0
1.0,4.0,2.0,5.0,6.0,3.0
1.0,5.0,3.0,2.0,6.0,4.0
3.0,5.0,2.0,1.0,6.0,4.0
2.0,4.0,1.0,3.0,6.0,5.0
1.0,4.0,2.0,3.0,5.0,6.0
1.0,5.0,3.0,2.0,6.0,4.0
2.0,3.0,,1.0,5.0,4.0
1.0,5.0,3.0,2.0,6.0,4.0
1.0,2.0,5.0,4.0,6.0,3.0
3.0,5.0,2.0,1.0,6.0,4.0
1.0,4.0,5.0,2.0,6.0,3.0
1.0,2.0,5.0,4.0,6.0,3.0
2.0,4.0,1.0,,5.0,3.0
1.0,5.0,3.0,2.0,6.0,4.0
1.0,6.0,3.0,2.0,5.0,4.0
1.0,2.0,4.0,3.0,5.0,6.0
3.0,4.0,2.0,1.0,6.0,5.0
2.0,3.0,1.0,,5.0,4.0
2.0,3.0,4.0,1.0,6.0,5.0
2.0,4.0,3.0,1.0,6.0,5.0
1.0,3.0,5.0,4.0,6.0,2.0
1.0,2.0,5.0,3.0,6.0,4.0
1.0,3.0,2.0,4.0,6.0,5.0
1.0,3.0,2.0,4.0,6.0,5.0
1.0,5.0,3.0,2.0,6.0,4.0
1.0,5.0,3.0,2.0,6.0,4.0
3.0,6.0,2.0,1.0,5.0,4.0
2.0,6.0,3.0,1.0,5.0,4.0
1.0,6.0,2.0,3.0,5.0,4.0
1.0,2.0,5.0,4.0,6.0,3.0
1.0,5.0,3.0,2.0,6.0,4.0
2.0,5.0,1.0,3.0,6.0,4.0
2.0,5.0,3.0,1.0,6.0,4.0
1.0,2.0,4.0,5.0,6.0,3.0
1.0,3.0,2.0,4.0,6.0,5.0
1.0,3.0,2.0,4.0,6.0,5.0
2.0,4.0,1.0,3.0,6.0,5.0
1.0,3.0,2.0,4.0,6.0,5.0
1.0,4.0,2.0,3.0,6.0,5.0
2.0,4.0,,1.0,5.0,3.0
2.0,5.0,1.0,3.0,6.0,4.0
1.0,6.0,3.0,2.0,5.0,4.0
2.0,4.0,1.0,,5.0,3.0
3.0,5.0,2.0,1.0,6.0,4.0
2.0,4.0,,1.0,5.0,3.0
1.0,5.0,2.0,3.0,6.0,4.0
2.0,4.0,1.0,3.0,6.0,5.0
1.0,2.0,5.0,4.0,6.0,3.0
2.0,6.0,3.0,1.0,5.0,4.0
1.0,4.0,5.0,3.0,6.0,2.0
1.0,4.0,3.0,2.0,5.0,6.0
1.0,5.0,2.0,3.0,6.0,4.0
1.0,4.0,3.0,2.0,6.0,5.0
1.0,3.0,5.0,4.0,6.0,2.0
2.0,6.0,3.0,1.0,5.0,4.0
1.0,3.0,,2.0,5.0,4.0
1.0,3.0,4.0,2.0,6.0,5.0
1.0,3.0,5.0,4.0,6.0,2.0
1.0,6.0,3.0,2.0,5.0,4.0
1.0,3.0,5.0,2.0,6.0,4.0
1.0,5.0,3.0,2.0,6.0,4.0
2.0,4.0,,1.0,5.0,3.0
1.0,5.0,3.0,2.0,6.0,4.0
2.0,5.0,3.0,1.0,6.0,4.0
1.0,5.0,3.0,2.0,6.0,4.0
3.0,5.0,2.0,1.0,6.0,4.0
1.0,5.0,3.0,2.0,6.0,4.0
1.0,5.0,3.0,2.0,6.0,4.0
1.0,3.0,4.0,2.0,6.0,5.0
3.0,5.0,2.0,1.0,6.0,4.0
2.0,5.0,3.0,1.0,6.0,4.0
3.0,5.0,2.0,1.0,6.0,4.0
1.0,5.0,2.0,3.0,6.0,4.0
2.0,4.0,,1.0,5.0,3.0
2.0,5.0,3.0,1.0,6.0,4.0
1.0,2.0,5.0,4.0,6.0,3.0
1.0,3.0,5.0,2.0,6.0,4.0
