model_a,model_b,winner,market_id,cluster,series
cftc_softs_1,cotton_fundamental_1,tie,Rugtt0yqpC,cotton,"will open interest in ice cotton no. futures exceed contracts on june , ?"
commodity_spot_1,diffusion_mc_1,tie,RyCCURO5p5,gold,"will lbma gold spot price exceed usd per troy oz on june , ?"
commodity_spot_1,news_drift_1,tie,RyCCURO5p5,gold,"will lbma gold spot price exceed usd per troy oz on june , ?"
diffusion_mc_1,news_drift_1,tie,RyCCURO5p5,gold,"will lbma gold spot price exceed usd per troy oz on june , ?"
cftc_softs_1,cotton_fundamental_1,model_b,S5ZzQ2ERA0,cotton,"will managed money net long position in ice cotton futures exceed contracts on june , ?"
commodity_spot_1,diffusion_mc_1,model_a,SAOnqpEQ6p,gold,"will lbma gold spot price exceed usd per troy oz on june , ?"
commodity_spot_1,news_drift_1,model_a,SAOnqpEQ6p,gold,"will lbma gold spot price exceed usd per troy oz on june , ?"
diffusion_mc_1,news_drift_1,tie,SAOnqpEQ6p,gold,"will lbma gold spot price exceed usd per troy oz on june , ?"
commodity_spot_1,diffusion_mc_1,model_a,SOy0E6dcCc,palladium,"will lbma palladium spot price exceed usd per troy oz on june , ?"
commodity_spot_1,pair_trading_1,model_a,SOy0E6dcCc,palladium,"will lbma palladium spot price exceed usd per troy oz on june , ?"
diffusion_mc_1,pair_trading_1,model_b,SOy0E6dcCc,palladium,"will lbma palladium spot price exceed usd per troy oz on june , ?"
commodity_spot_1,diffusion_mc_1,model_a,SUcqULu9U9,silver,"will lbma silver spot price exceed usd per troy oz on june , ?"
commodity_spot_1,news_drift_1,model_a,SUcqULu9U9,silver,"will lbma silver spot price exceed usd per troy oz on june , ?"
commodity_spot_1,pair_trading_1,model_a,SUcqULu9U9,silver,"will lbma silver spot price exceed usd per troy oz on june , ?"
diffusion_mc_1,news_drift_1,model_a,SUcqULu9U9,silver,"will lbma silver spot price exceed usd per troy oz on june , ?"
diffusion_mc_1,pair_trading_1,model_b,SUcqULu9U9,silver,"will lbma silver spot price exceed usd per troy oz on june , ?"
news_drift_1,pair_trading_1,model_b,SUcqULu9U9,silver,"will lbma silver spot price exceed usd per troy oz on june , ?"
commodity_spot_1,diffusion_mc_1,model_a,SZdcg9ZRsl,palladium,"will lbma palladium spot price exceed usd per troy oz on june , ?"
commodity_spot_1,pair_trading_1,model_a,SZdcg9ZRsl,palladium,"will lbma palladium spot price exceed usd per troy oz on june , ?"
diffusion_mc_1,pair_trading_1,model_b,SZdcg9ZRsl,palladium,"will lbma palladium spot price exceed usd per troy oz on june , ?"
commodity_spot_1,pair_trading_1,model_a,ULypN2gudn,silver,"will lbma silver spot price exceed usd per troy oz on may , ?"
commodity_spot_1,pair_trading_1,model_a,Z0UIpOgPNl,palladium,"will lbma palladium spot price exceed usd per troy oz on june , ?"
ladder_arb_1,mercury_ensemble_1,model_a,ZQcL2nqCdZ,cerium,will us cerium metal price (-month avg) exceed usd/kg for may ?
cftc_softs_1,commodity_1,model_a,ZslIUldyt6,cotton,"will managed money net long position in ice cotton futures exceed contracts on june , ?"
cftc_softs_1,cotton_fundamental_1,model_b,ZslIUldyt6,cotton,"will managed money net long position in ice cotton futures exceed contracts on june , ?"
commodity_1,cotton_fundamental_1,model_b,ZslIUldyt6,cotton,"will managed money net long position in ice cotton futures exceed contracts on june , ?"
commodity_spot_1,ladder_arb_1,tie,cL26ycE6pE,rbob,"will us rbob gasoline spot price exceed $/gallon on june , ?"
commodity_spot_1,pair_trading_1,tie,cL26ycE6pE,rbob,"will us rbob gasoline spot price exceed $/gallon on june , ?"
ladder_arb_1,pair_trading_1,tie,cL26ycE6pE,rbob,"will us rbob gasoline spot price exceed $/gallon on june , ?"
cftc_softs_1,cotton_fundamental_1,tie,cU90yNu9Q9,cotton,"will open interest in ice cotton no. futures exceed contracts on june , ?"
commodity_spot_1,pair_trading_1,model_a,cZZLlN65RL,silver,"will lbma silver spot price exceed usd per troy oz on may , ?"
ensemble_1,news_drift_1,tie,ctsqzEPph9,copper,"will lme copper grade a spot price exceed usd per tonne on june , ?"
commodity_spot_1,pair_trading_1,model_a,dIndSRZcSz,palladium,"will lbma palladium spot price exceed usd per troy oz on may , ?"
cftc_softs_1,commodity_1,tie,dOhIZuSSLu,cotton,"will managed money net long position in ice cotton futures exceed contracts on june , ?"
cftc_softs_1,cotton_fundamental_1,tie,dOhIZuSSLu,cotton,"will managed money net long position in ice cotton futures exceed contracts on june , ?"
commodity_1,cotton_fundamental_1,tie,dOhIZuSSLu,cotton,"will managed money net long position in ice cotton futures exceed contracts on june , ?"
commodity_spot_1,diffusion_mc_1,tie,duO9u6pypN,palladium,"will palladium spot price (lbma am fix) exceed usd per troy oz on june , ?"
commodity_spot_1,pair_trading_1,tie,duO9u6pypN,palladium,"will palladium spot price (lbma am fix) exceed usd per troy oz on june , ?"
diffusion_mc_1,pair_trading_1,tie,duO9u6pypN,palladium,"will palladium spot price (lbma am fix) exceed usd per troy oz on june , ?"
commodity_spot_1,pair_trading_1,model_b,gpZy8PQ2Au,palladium,"will lbma palladium spot price exceed usd per troy oz on may , ?"
diffusion_mc_1,ladder_arb_1,model_b,hCNuNuqNu2,platinum,"will lbma platinum spot price exceed usd per troy oz on june , ?"
diffusion_mc_1,pair_trading_1,model_a,hCNuNuqNu2,platinum,"will lbma platinum spot price exceed usd per troy oz on june , ?"
ladder_arb_1,pair_trading_1,model_a,hCNuNuqNu2,platinum,"will lbma platinum spot price exceed usd per troy oz on june , ?"
commodity_spot_1,pair_trading_1,model_a,hS2yd5nQgl,platinum,"will lbma platinum spot price exceed usd per troy oz on may , ?"
ensemble_1,ladder_arb_1,tie,hgzNOECC8n,copper,"will lme copper grade a spot price exceed usd per tonne on june , ?"
ensemble_1,news_drift_1,tie,hgzNOECC8n,copper,"will lme copper grade a spot price exceed usd per tonne on june , ?"
ladder_arb_1,news_drift_1,tie,hgzNOECC8n,copper,"will lme copper grade a spot price exceed usd per tonne on june , ?"
commodity_spot_1,diffusion_mc_1,model_b,huLdst8pq9,silver,"will lbma silver spot price exceed usd per troy oz on june , ?"
commodity_spot_1,news_drift_1,model_a,huLdst8pq9,silver,"will lbma silver spot price exceed usd per troy oz on june , ?"
commodity_spot_1,pair_trading_1,model_a,huLdst8pq9,silver,"will lbma silver spot price exceed usd per troy oz on june , ?"
diffusion_mc_1,news_drift_1,model_a,huLdst8pq9,silver,"will lbma silver spot price exceed usd per troy oz on june , ?"
diffusion_mc_1,pair_trading_1,model_a,huLdst8pq9,silver,"will lbma silver spot price exceed usd per troy oz on june , ?"
news_drift_1,pair_trading_1,model_b,huLdst8pq9,silver,"will lbma silver spot price exceed usd per troy oz on june , ?"
cftc_softs_1,commodity_1,tie,lulLzzt0d8,cotton,"will open interest in ice cotton no. futures exceed contracts on june , ?"
cftc_softs_1,cotton_fundamental_1,tie,lulLzzt0d8,cotton,"will open interest in ice cotton no. futures exceed contracts on june , ?"
commodity_1,cotton_fundamental_1,tie,lulLzzt0d8,cotton,"will open interest in ice cotton no. futures exceed contracts on june , ?"
commodity_spot_1,diffusion_mc_1,model_a,n05Z96OhO0,palladium,"will palladium spot price (lbma am fix) exceed usd per troy oz on june , ?"
commodity_spot_1,pair_trading_1,model_a,n05Z96OhO0,palladium,"will palladium spot price (lbma am fix) exceed usd per troy oz on june , ?"
diffusion_mc_1,pair_trading_1,model_b,n05Z96OhO0,palladium,"will palladium spot price (lbma am fix) exceed usd per troy oz on june , ?"
commodity_spot_1,diffusion_mc_1,model_b,nApzuCO0z9,palladium,"will lbma palladium spot price exceed usd per troy oz on june , ?"
commodity_spot_1,pair_trading_1,model_b,nApzuCO0z9,palladium,"will lbma palladium spot price exceed usd per troy oz on june , ?"
diffusion_mc_1,pair_trading_1,model_a,nApzuCO0z9,palladium,"will lbma palladium spot price exceed usd per troy oz on june , ?"
commodity_spot_1,diffusion_mc_1,model_a,nZ0SL20uLp,gold,"will lbma gold spot price exceed usd per troy oz on june , ?"
commodity_spot_1,news_drift_1,model_a,nZ0SL20uLp,gold,"will lbma gold spot price exceed usd per troy oz on june , ?"
diffusion_mc_1,news_drift_1,tie,nZ0SL20uLp,gold,"will lbma gold spot price exceed usd per troy oz on june , ?"
commodity_spot_1,diffusion_mc_1,tie,ncgdCSAsZS,silver,"will lbma silver spot price exceed usd per troy oz on june , ?"
commodity_spot_1,news_drift_1,tie,ncgdCSAsZS,silver,"will lbma silver spot price exceed usd per troy oz on june , ?"
commodity_spot_1,pair_trading_1,model_b,ncgdCSAsZS,silver,"will lbma silver spot price exceed usd per troy oz on june , ?"
diffusion_mc_1,news_drift_1,tie,ncgdCSAsZS,silver,"will lbma silver spot price exceed usd per troy oz on june , ?"
diffusion_mc_1,pair_trading_1,model_b,ncgdCSAsZS,silver,"will lbma silver spot price exceed usd per troy oz on june , ?"
news_drift_1,pair_trading_1,model_b,ncgdCSAsZS,silver,"will lbma silver spot price exceed usd per troy oz on june , ?"
commodity_spot_1,pair_trading_1,model_a,ngUNPQRpnE,palladium,"will lbma palladium spot price exceed usd per troy oz on may , ?"
cftc_softs_1,cotton_fundamental_1,tie,ntQlAq0cZ2,cotton,"will open interest in ice cotton no. futures exceed contracts on june , ?"
commodity_spot_1,pair_trading_1,model_a,nuqtcsp68I,platinum,"will platinum spot price (lbma am fix) exceed usd per troy oz on may , ?"
commodity_spot_1,pair_trading_1,tie,p6zQq9qyc8,platinum,"will lbma platinum spot price exceed usd per troy oz on may , ?"
diffusion_mc_1,ladder_arb_1,model_b,pZcRhy2QEA,platinum,"will platinum spot price (lbma am fix) exceed usd per troy oz on june , ?"
diffusion_mc_1,pair_trading_1,model_b,pZcRhy2QEA,platinum,"will platinum spot price (lbma am fix) exceed usd per troy oz on june , ?"
ladder_arb_1,pair_trading_1,model_a,pZcRhy2QEA,platinum,"will platinum spot price (lbma am fix) exceed usd per troy oz on june , ?"
cftc_softs_1,commodity_1,model_b,pdP9lQsZ05,cotton,"will managed money net long position in ice cotton futures exceed contracts on june , ?"
cftc_softs_1,cotton_fundamental_1,model_b,pdP9lQsZ05,cotton,"will managed money net long position in ice cotton futures exceed contracts on june , ?"
commodity_1,cotton_fundamental_1,model_a,pdP9lQsZ05,cotton,"will managed money net long position in ice cotton futures exceed contracts on june , ?"
commodity_spot_1,diffusion_mc_1,model_a,pnS2gdNp8q,gold,"will lbma gold spot price exceed usd per troy oz on june , ?"
commodity_spot_1,news_drift_1,model_a,pnS2gdNp8q,gold,"will lbma gold spot price exceed usd per troy oz on june , ?"
diffusion_mc_1,news_drift_1,model_a,pnS2gdNp8q,gold,"will lbma gold spot price exceed usd per troy oz on june , ?"
cotton_fundamental_1,ladder_arb_1,model_b,puRNutURNg,cotton,"will ice cotton no. front-month futures exceed cents/lb on june , ?"
cftc_softs_1,cotton_fundamental_1,model_b,q2cR09ztuu,cotton,"will producer/merchant net short position in ice cotton futures exceed contracts on june , ?"
commodity_spot_1,diffusion_mc_1,model_a,qOLpQER98U,wti,"will wti crude oil spot price exceed $/barrel on june , ?"
commodity_spot_1,pair_trading_1,model_a,qOLpQER98U,wti,"will wti crude oil spot price exceed $/barrel on june , ?"
diffusion_mc_1,pair_trading_1,model_a,qOLpQER98U,wti,"will wti crude oil spot price exceed $/barrel on june , ?"
cftc_softs_1,cotton_fundamental_1,model_b,sLNy5S2nUQ,cotton,"will ice cotton no. front-month futures exceed cents/lb on june , ?"
cftc_softs_1,nass_cotton_1,model_a,sLNy5S2nUQ,cotton,"will ice cotton no. front-month futures exceed cents/lb on june , ?"
cotton_fundamental_1,nass_cotton_1,model_a,sLNy5S2nUQ,cotton,"will ice cotton no. front-month futures exceed cents/lb on june , ?"
commodity_spot_1,diffusion_mc_1,model_a,sO2gsNguR5,wti,"will wti crude oil spot price exceed $/barrel on june , ?"
commodity_spot_1,news_drift_1,model_a,sO2gsNguR5,wti,"will wti crude oil spot price exceed $/barrel on june , ?"
commodity_spot_1,pair_trading_1,model_a,sO2gsNguR5,wti,"will wti crude oil spot price exceed $/barrel on june , ?"
diffusion_mc_1,news_drift_1,tie,sO2gsNguR5,wti,"will wti crude oil spot price exceed $/barrel on june , ?"
diffusion_mc_1,pair_trading_1,model_a,sO2gsNguR5,wti,"will wti crude oil spot price exceed $/barrel on june , ?"
news_drift_1,pair_trading_1,model_a,sO2gsNguR5,wti,"will wti crude oil spot price exceed $/barrel on june , ?"
cftc_softs_1,cotton_fundamental_1,model_b,sPPRE9O0Ln,cotton,"will producer/merchant net short position in ice cotton futures exceed contracts on june , ?"
ensemble_1,news_drift_1,tie,sRz5Ill25C,gold,"will the lbma gold spot price exceed usd/troy oz on july , ?"
ensemble_1,ladder_arb_1,tie,tLu5PZLuSz,copper,"will lme copper grade a spot price exceed usd per tonne on june , ?"
ensemble_1,news_drift_1,tie,tLu5PZLuSz,copper,"will lme copper grade a spot price exceed usd per tonne on june , ?"
ladder_arb_1,news_drift_1,tie,tLu5PZLuSz,copper,"will lme copper grade a spot price exceed usd per tonne on june , ?"
commodity_spot_1,diffusion_mc_1,model_a,tgLQP0Cpn8,wti,"will wti crude oil spot price exceed $/barrel on june , ?"
commodity_spot_1,news_drift_1,model_a,tgLQP0Cpn8,wti,"will wti crude oil spot price exceed $/barrel on june , ?"
commodity_spot_1,pair_trading_1,model_a,tgLQP0Cpn8,wti,"will wti crude oil spot price exceed $/barrel on june , ?"
diffusion_mc_1,news_drift_1,tie,tgLQP0Cpn8,wti,"will wti crude oil spot price exceed $/barrel on june , ?"
diffusion_mc_1,pair_trading_1,tie,tgLQP0Cpn8,wti,"will wti crude oil spot price exceed $/barrel on june , ?"
news_drift_1,pair_trading_1,tie,tgLQP0Cpn8,wti,"will wti crude oil spot price exceed $/barrel on june , ?"
cftc_softs_1,cotton_fundamental_1,model_b,u08gRhlt55,cotton,"will managed money net long position in ice cotton futures exceed contracts on june , ?"
commodity_spot_1,pair_trading_1,tie,ugPPyPqlRg,palladium,"will palladium spot price (lbma am fix) exceed usd per troy oz on may , ?"
commodity_spot_1,diffusion_mc_1,tie,uz6Ah6cCgA,gold,"will lbma gold spot price exceed usd per troy oz on june , ?"
commodity_spot_1,news_drift_1,model_a,uz6Ah6cCgA,gold,"will lbma gold spot price exceed usd per troy oz on june , ?"
diffusion_mc_1,news_drift_1,tie,uz6Ah6cCgA,gold,"will lbma gold spot price exceed usd per troy oz on june , ?"
cftc_softs_1,cotton_fundamental_1,model_b,yOll8OPglE,cotton,"will producer/merchant net short position in ice cotton futures exceed contracts on june , ?"
commodity_spot_1,pair_trading_1,tie,yP5g6sqZtq,platinum,"will platinum spot price (lbma am fix) exceed usd per troy oz on may , ?"
commodity_spot_1,pair_trading_1,model_a,yQScQuZ8zd,palladium,"will palladium spot price (lbma am fix) exceed usd per troy oz on may , ?"
cftc_softs_1,cotton_fundamental_1,tie,yzlz5RlCpd,cotton,"will open interest in ice cotton no. futures exceed contracts on june , ?"
diffusion_mc_1,ensemble_1,model_b,z6pCuE2PAN,gold,"will gold spot price (lbma pm fix) exceed usd per troy oz on june , ?"
diffusion_mc_1,news_drift_1,model_a,z6pCuE2PAN,gold,"will gold spot price (lbma pm fix) exceed usd per troy oz on june , ?"
ensemble_1,news_drift_1,model_a,z6pCuE2PAN,gold,"will gold spot price (lbma pm fix) exceed usd per troy oz on june , ?"
diffusion_mc_1,news_drift_1,model_a,znLhNO2A5n,brent,"will brent crude oil spot price exceed $/barrel on june , ?"
cftc_softs_1,cotton_fundamental_1,model_b,zy9LRhINLs,cotton,"will managed money net long position in ice cotton futures exceed contracts on june , ?"
